S.N.,plot_id,clump_sn,culm_sn,stump_ht_cm,sample_sn,sample_id,species_code,latin_name,species_name,d30,dbh,base,ht_culmination,length_m,nodes,culm_thickness_cm_bh,remarks,total no of samples,remarks,gree_wt_culm_kg,gree_wt_branch_kg,gree_wt_foliage_kg,total_biomass
1,1-11-Y-5,2,1,20,1,1-11-Y-5-2-1,414,Dendrocalamus hookeri,Bhalu bans,10.1,9,1.2,14.7,15.2,46,1.1,NA,1,,35.26,3.12,3.91,42.29
1,1-11-Y-5,2,2,22,2,1-11-Y-5-2-2,414,Dendrocalamus hookeri,Bhalu bans,12.6,10.2,1.3,14.9,15.6,46,1.1,NA,2,,39.38,2.98,3.46,45.82
1,1-11-Y-5,2,3,23,3,1-11-Y-5-2-3,414,Dendrocalamus hookeri,Bhalu bans,18.2,15,1.1,19.9,22,60,1.1,NA,3,,58.39,2.37,3.35,64.11
2,1-51-Y-4,2,3,11.5,1,1-51-Y-4-2-1,404,Bambusa nepalensis,Choya bans,5.8,5.6,0.5,10.3,10.8,27,2,NA,4,,25.3,2.6,4.5,32.4
2,1-51-Y-4,2,2,12,2,1-51-Y-4-2-2,404,Bambusa nepalensis,Choya bans,6.7,6.4,1.5,13.8,13.5,33,2.3,NA,5,,14.6,1.2,0.93,16.73
2,1-51-Y-4,2,1,14,3,1-51-Y-4-2-3,404,Bambusa nepalensis,Choya bans,8.8,8.6,2,15.4,14.9,43,1.4,NA,6,,7.2,0.93,1.7,9.83
3,1-51-Y-12,1,1,12.5,1,1-51-Y-12-1-1,413,Dendrocalamus hamiltonii,Choya bans,11.6,11.2,2.1,14.6,14.2,35,2,NA,7,,32.6,4.2,6.3,43.1
3,1-51-Y-12,2,2,13,2,1-51-Y-12-2-2,413,Dendrocalamus hamiltonii,Choya bans,8.5,8.3,0.7,16.5,16.1,45,2,NA,8,,18.2,3.7,3.69,25.59
3,1-51-Y-12,2,3,14,3,1-51-Y-12-2-3,413,Dendrocalamus hamiltonii,Choya bans,6.6,6.5,1.3,13.2,13.7,31,1.3,NA,9,,13.3,1.8,1.2,16.3
4,1-73-Y-17,1,1,30,1,1-73-Y-17-1-1,414,Dendrocalamus hookeri,Bhalu Bans,15,14.5,3,21.5,25.5,49,1.9,NA,10,,85.2,6.6,1.9,93.7
4,1-73-Y-17,2,2,30,2,1-73-Y-17-2-2,414,Dendrocalamus hookeri,Bhalu Bans,10.1,9.6,3.5,20.8,26.5,56,1.8,NA,11,,46.8,5.7,1.7,54.2
4,1-73-Y-17,3,3,30,3,1-73-Y-17-3-3,414,Dendrocalamus hookeri,Bhalu Bans,9,8.4,3,18.1,22,53,1.5,NA,12,,39.8,4.4,1.5,45.7
5,4-72-Y-1,2,1,30,1,4-72-Y-1-2-1,404,Bambusa nepalensis,Tama bans,4.3,3.4,0.3,8.1,8.3,47,1.6,NA,13,,3.5,1.7,0.3,5.5
6,4-72-Y-4,1,1,30,S1,4-72-Y-4-1-S1,404,Bambusa nepalensis,Tama bans,9.3,7.9,5,15,19.7,48,2.2,NA,14,,34.7,3.8,2.4,40.9
6,4-72-Y-4,1,2,30,S2,4-72-Y-4-1-S2,404,Bambusa nepalensis,Tama bans,4.6,9.3,0.8,9,9.2,23,1.3,NA,15,,7.3,0.5,0.3,8.1
6,4-72-Y-4,1,3,30,S3,4-72-Y-4-1-S3,404,Bambusa nepalensis,Tama bans,9.2,8.2,1.5,20,20.9,51,2.4,NA,16,,45.5,3.7,3.8,53
7,4-72-Y-2,3,1,30,1,4-72-Y-2-3-1,406,Bambusa nutans,taru,7.4,7.4,0.5,10.5,10.7,47,1.9,NA,17,,11.9,3.4,0.95,16.25
8,3-10-Y-4,1,1,55,1,3-10-Y-4-1-1,406,Bambusa nutans,taru bans,7.1,6.8,0.5,15.2,15.3,44,1.3,NA,18,,25,7.3,6.6,38.9
8,3-10-Y-4,2,2,30,2,3-10-Y-4-2-2,406,Bambusa nutans,taru bans,5,4.7,0.5,11.9,12.9,39,0.9,NA,19,,6.4,0.7,2.2,9.3
9,1-74-Y-15,1,1,20,M,1-74-Y-15-1-M,414,Dendrocalamus hookeri,Bhalu Bans,8,7.8,7,17,22.5,54,1.65,NA,20,,30.884,4.245,4.4,39.529
9,1-74-Y-15,1,2,25,L,1-74-Y-15-1-L,414,Dendrocalamus hookeri,Bhalu Bans,14,13.1,12,19,25.6,65,1.2,NA,21,,49.69,1.08,4.53,55.3
10,1-74-Y-12,3,1,30,1,1-74-Y-12-3-1,414,Dendrocalamus hookeri,Bhalu Bans,5,4.5,4,7.7,9,24,1,NA,22,,54,1.85,1,56.85
11,1-62- Y-20,C1,1,30,S,1-62- Y-20-C1-S,404,Bambusa nepalensis,B. nepalensis,3.5,3.2,4,7.8,11.6,24,0.4,NA,23,,1.8,1.16,1.53,4.49
11,1-62- Y-20,C1,2,30,M,1-62- Y-20-C1-M,404,Bambusa nepalensis,B. nepalensis,7.8,7.7,4.4,13.2,15.6,34,0.9,NA,24,,16.2,1.726,3.15,21.076
11,1-62- Y-20,C1,3,30,L,1-62- Y-20-C1-L,404,Bambusa nepalensis,B. nepalensis,9,8.7,4.7,15.6,19.2,49,1.1,NA,25,,32.42,3.126,3.765,39.311
11,1-62- Y-20,C4,1,30,S,1-62- Y-20-C4-S,413,Dendrocalamus hamiltonii,D. hamiltorii,4.7,4.6,6,13.7,15.3,44,0.6,NA,26,,6.44,0.62,0.655,7.715
11,1-62- Y-20,C4,2,30,M,1-62- Y-20-C4-M,413,Dendrocalamus hamiltonii,D. hamiltorii,6,5.2,4.1,10.3,13,26,0.9,NA,27,,7.65,0.195,0.1,7.945
11,1-62- Y-20,C4,3,30,L,1-62- Y-20-C4-L,413,Dendrocalamus hamiltonii,D. hamiltorii,10.3,10,9.1,18.7,22.4,54,1.2,NA,28,,42.517,2.465,3.335,48.317
11,1-62- Y-20,C5,1,30,S,1-62- Y-20-C5-S,405,Bambusa cupulata,B. nutans,5,4.9,1.6,10.3,12,32,0.7,NA,29,,7.77,1.31,2.11,11.19
11,1-62- Y-20,C5,2,30,M,1-62- Y-20-C5-M,405,Bambusa cupulata,B. nutans,6.9,6.8,3,14.6,17.7,42,1,NA,30,,16.1,1.12,1.88,19.1
11,1-62- Y-20,C5,3,30,L,1-62- Y-20-C5-L,405,Bambusa cupulata,B. nutans,8.8,8.8,5.2,13.8,21.1,38,1,NA,31,,30.82,2.8,4.47,38.09
12,1-26-Y-11,C1,1,25,S,1-26-Y-11-C1-S,405,Bambusa cupulata,mal bans,4.4,4,1.8,8.3,10.5,28,0.8,NA,32,,4.245,0.185,0.465,4.895
12,1-26-Y-11,C1,2,20,M,1-26-Y-11-C1-M,405,Bambusa cupulata,mal bans,6.5,6.3,2.1,9.7,11.2,32,1.1,NA,33,,10.48,2.01,1.92,14.41
12,1-26-Y-11,C5,1,30,S,1-26-Y-11-C5-S,404,Bambusa nepalensis,choya bans,4.5,3.8,5.3,7.4,10.5,27,0.8,NA,34,,4.245,0.145,0.23,4.62
12,1-26-Y-11,C5,2,30,M,1-26-Y-11-C5-M,404,Bambusa nepalensis,choya bans,7.2,6.7,7.2,15.4,19.1,52,0.9,NA,35,,19.48,0.295,0.54,20.315
12,1-26-Y-11,C5,3,25,L,1-26-Y-11-C5-L,404,Bambusa nepalensis,choya bans,10.6,9.8,3.6,16.4,20.5,53,1.2,NA,36,,33.35,2.59,1.54,37.48
13,1-26-Y-12,5,1,30,1,1-26-Y-12-5-1,414,Dendrocalamus hookeri,Bhalu Bans,6,6.2,2.2,13.5,15.8,45,0.4,NA,37,,10.767,2.962,1.1,14.829
13,1-26-Y-12,1,1,25,2,1-26-Y-12-1-2,414,Dendrocalamus hookeri,Bhalu Bans,10.9,10.8,3.2,15.3,18.4,53,1,NA,38,,43.65,3.865,1.3,48.815
13,1-26-Y-12,1,1,25,3,1-26-Y-12-1-3,414,Dendrocalamus hookeri,Bhalu Bans,18.8,15.7,5.8,15.3,19.4,70,1.2,NA,39,,63.86,5.965,1.7,71.525
14,7-30-Y-4,3,1,30,S1,7-30-Y-4-3-S1,406,Bambusa nutans,taru bans,4.8,4.5,1.2,8.7,9.5,39,0.7,NA,40,,7.83,2.7,2,12.53
14,7-30-Y-4,3,2,30,S2,7-30-Y-4-3-S2,406,Bambusa nutans,taru bans,5.3,5.2,1,8.5,9.4,38,0.7,NA,41,,9.1,2.1,1.6,12.8
14,7-30-Y-4,3,3,30,S3,7-30-Y-4-3-S3,406,Bambusa nutans,taru bans,6.3,5.2,0.8,9,9.6,40,0.7,NA,42,,9.315,1.46,1.25,12.025
14,7-30-Y-4,6,1,30,M1,7-30-Y-4-6-M1,406,Bambusa nutans,taru bans,6.7,6.4,1.8,12.3,14.3,51,0.8,NA,43,,17.15,0.99,0.96,19.1
14,7-30-Y-4,6,2,30,M2,7-30-Y-4-6-M2,406,Bambusa nutans,taru bans,7.1,6.5,1.6,12.9,14.8,50,0.8,NA,44,,18.65,1.023,0.735,20.408
14,7-30-Y-4,6,3,30,M3,7-30-Y-4-6-M3,406,Bambusa nutans,taru bans,7,6.8,1.8,13.1,15.6,49,0.8,NA,45,,22.365,1.4,0.865,24.63
15,4-46-Y-2,4,1,30,1,4-46-Y-2-4-1,403,Bambusa balcooa,Dhanu,8,7.8,1.5,12,14.5,32,1.8,NA,46,,22.6,7,4.3,33.9
15,4-46-Y-2,4,1,30,2,4-46-Y-2-4-2,403,Bambusa balcooa,Dhanu,7.7,7.4,1.5,11.5,13.7,31,0.8,NA,47,,17.8,6.1,4,27.9
15,4-46-Y-2,4,1,30,3,4-46-Y-2-4-3,403,Bambusa balcooa,Dhanu,5.8,5.5,2,9.5,10.3,22,1.6,NA,48,,13.5,4.9,2.3,20.7
16,4-46-Y-3,2,1,30,1,4-46-Y-3-2-1,413,Dendrocalamus hamiltonii,Tama Bans,9.5,9.1,1.7,18,17.5,48,2.6,NA,49,,38.8,11.7,6.2,56.7
16,4-46-Y-3,2,1,30,2,4-46-Y-3-2-2,413,Dendrocalamus hamiltonii,Tama Bans,6.9,6.5,0.5,10.5,11.2,34,1.3,NA,50,,17,6.4,2.1,25.5
16,4-46-Y-3,2,1,30,3,4-46-Y-3-2-3,413,Dendrocalamus hamiltonii,Tama Bans,6.5,6.3,1,10.2,10.7,29,1.1,NA,51,,16.5,3.1,1.8,21.4
16,4-46-Y-3,2,1,30,4,4-46-Y-3-2-4,413,Dendrocalamus hamiltonii,Tama Bans,4.9,4.6,0.5,7,7.3,19,1.2,NA,52,,14.8,2.4,1.3,18.5
17,1-37-Y-31,2,1,55,1,1-37-Y-31-2-1,413,Dendrocalamus hamiltonii,Dhungre/Tama,13.5,12,2,12.7,15.4,38,3,NA,53,,33.8,3.2,2.8,39.8
17,1-37-Y-31,2,2,30,2,1-37-Y-31-2-2,413,Dendrocalamus hamiltonii,Dhungre/Tama,6.6,5.4,2,9.2,11.2,29,1.6,NA,54,,27,2.7,2,31.7
17,1-37-Y-31,2,3,30,3,1-37-Y-31-2-3,413,Dendrocalamus hamiltonii,Dhungre/Tama,9.5,8.9,2,11,13,32,2,NA,55,,21.3,1.9,1.2,24.4
18,1-68-Y-3,3,1,30,1,1-68-Y-3-3-1,404,Bambusa nepalensis,Choya bans,5.4,5,1.5,19.5,12,32,1.5,NA,56,,14.1,2.8,2.2,19.1
18,1-68-Y-3,3,2,30,2,1-68-Y-3-3-2,413,Dendrocalamus hamiltonii,Choya bans,7.5,7.4,1,11.3,13.5,38,1.4,NA,57,,16.7,3.8,4.2,24.7
18,1-68-Y-3,3,3,30,3,1-68-Y-3-3-3,413,Dendrocalamus hamiltonii,Choya bans,9,8.8,2.5,9.9,12.6,41,1,NA,58,,20.4,5.5,4.8,30.7
19,6-27-Y-4,1,1,30,1,6-27-Y-4-1-1,406,Bambusa nutans,Tarubans,10.5,9.5,5.1,18.4,23.5,57,1.2,NA,59,,45.8,2.5,1.8,50.1
19,6-27-Y-4,1,2,30,2,6-27-Y-4-1-2,406,Bambusa nutans,Tarubans,7.8,6.9,3.1,14,17.5,54,0.8,NA,60,,29.7,1.9,1.5,33.1
19,6-27-Y-4,1,3,30,3,6-27-Y-4-1-3,406,Bambusa nutans,Tarubans,6.5,6.2,2.2,14.2,16.4,44,0.8,NA,61,,12.5,1.5,1.3,15.3
20,2-53-y-4,c1,s1,30,1,2-53-y-4-c1-1,403,Bambusa balcooa,Harauti/Dhanu,6.2,5.6,1.9,8.3,10.3,36,0.8,NA,62,,13.8,3.5,1.7,19
20,2-53-y-4,c1,s2,30,2,2-53-y-4-c1-2,403,Bambusa balcooa,Harauti/Dhanu,5.8,5.3,2.2,10.7,12.9,43,0.7,NA,63,,9.9,1.7,0.4,12
20,2-53-y-4,c1,s3,30,3,2-53-y-4-c1-3,403,Bambusa balcooa,Harauti/Dhanu,6.2,5.6,1.9,8.2,10.3,35,0.8,NA,64,,10,3.1,1.6,14.7
20,2-53-y-4,c2,m1,30,4,2-53-y-4-c2-4,403,Bambusa balcooa,Harauti/Dhanu,8.6,7,3.5,12.9,16.8,53,0.8,NA,65,,20.4,2.6,2.1,25.1
20,2-53-y-4,c2,m2,30,5,2-53-y-4-c2-5,403,Bambusa balcooa,Harauti/Dhanu,8,7.5,2.7,13.1,17,57,0.7,NA,66,,19.8,2.9,2,24.7
20,2-53-y-4,c5,m3,30,6,2-53-y-4-c5-6,403,Bambusa balcooa,Harauti/Dhanu,7.8,6.1,3.8,12.7,16.3,54,0.8,NA,67,,18.9,2.7,1.9,23.5
20,2-53-y-4,c2,l1,30,7,2-53-y-4-c2-7,403,Bambusa balcooa,Harauti/Dhanu,9,8.5,2,15,17.1,61,0.8,NA,68,,39.8,2.3,2.2,44.3
20,2-53-y-4,c5,l2,30,8,2-53-y-4-c5-8,403,Bambusa balcooa,Harauti/Dhanu,9,8.5,4.1,12.7,17.5,63,0.9,NA,69,,40.1,2,2.1,44.2
20,2-53-y-4,c2,l3,30,9,2-53-y-4-c2-9,403,Bambusa balcooa,Harauti/Dhanu,9.1,8.6,2.6,13.8,16.7,69,0.9,NA,70,,41.2,1.9,2.1,45.2
21,4-34-Y-2,4,1,30,1,4-34-Y-2-4-1,406,Bambusa nutans,Taru,6.1,5.8,1,14.3,14.6,47,1.4,NA,71,,16.1,6.5,1.3,23.9
21,4-34-Y-2,4,2,30,2,4-34-Y-2-4-2,406,Bambusa nutans,Taru,3.8,3.4,0.5,6,6.4,22,1.3,NA,72,,3.1,1.5,0.5,5.1
22,1-49-Y-1,1,1,30,1,1-49-Y-1-1-1,404,Bambusa nepalensis,Choya Bans,5.9,5.5,1,10.5,12.9,31,1.8,NA,73,,15.1,2.7,1.5,19.3
22,1-49-Y-1,1,2,30,2,1-49-Y-1-1-2,404,Bambusa nepalensis,Choya Bans,8.8,8.6,1.5,12,15.7,42,2.8,NA,74,,29,3.9,1.4,34.3
23,1-49-Y-5,1,1,30,1,1-49-Y-5-1-1,413,Dendrocalamus hamiltonii,Choya Bans,11.5,10.1,3.2,9.9,13.6,58,3,NA,75,,22.1,3.4,0.9,26.4
24,6-14-Y-19,1,1,30,1,6-14-Y-19-1-1,413,Dendrocalamus hamiltonii,Tama Bans,5.2,5,2.1,13.5,13.9,40,0.3,NA,76,,18.71,1.23,1.56,21.5
24,6-14-Y-19,1,2,30,2,6-14-Y-19-1-2,413,Dendrocalamus hamiltonii,Tama Bans,7.6,7.5,2.3,16.1,19.3,48,0.4,NA,77,,30.83,1.79,2.12,34.74
24,6-14-Y-19,1,3,30,3,6-14-Y-19-1-3,413,Dendrocalamus hamiltonii,Tama Bans,9.8,9.3,2.7,17.1,21.2,54,1.2,NA,78,,48.57,2.21,3.53,54.31
24,6-14-Y-19,1,4,30,4,6-14-Y-19-1-4,413,Dendrocalamus hamiltonii,Tama Bans,12.5,11.3,3.3,17.3,21.9,54,1.3,NA,79,,56.89,2.73,3.86,63.48
25,6-14-Y-21,3,1,20,1,6-14-Y-21-3-1,406,Bambusa nutans,Taru Bans,4.4,4.5,1.9,12.1,14.3,36,0.4,NA,80,,13.44,1.24,0.435,15.115
25,6-14-Y-21,3,2,20,2,6-14-Y-21-3-2,406,Bambusa nutans,Taru Bans,7.8,7.2,1.9,17.7,22.8,49,1.4,NA,81,,28.3,2.98,3.16,34.44
25,6-14-Y-21,3,3,20,3,6-14-Y-21-3-3,406,Bambusa nutans,Taru Bans,9,8.5,2.9,17.6,21.9,56,1.2,NA,82,,43.72,4.86,4.324,52.904
25,6-14-Y-21,3,4,20,4,6-14-Y-21-3-4,406,Bambusa nutans,Taru Bans,11.9,11.2,4.1,16.9,22.8,57,1.1,NA,83,,49.34,5.23,6.23,60.8
26,4-23-Y-18,1,1,30,S1,4-23-Y-18-1-S1,405,Bambusa cupulata,Mal/ Choya Bans,4.7,4.7,2.1,10.2,14.1,35,0.5,NA,84,,8.07,2.54,0.134,10.744
26,4-23-Y-18,1,1,30,S2,4-23-Y-18-1-S2,405,Bambusa cupulata,Mal/ Choya Bans,5.1,5.4,2,11.7,14.4,39,0.55,NA,85,,10.69,0.203,0.126,11.019
26,4-23-Y-18,1,1,30,M1,4-23-Y-18-1-M1,405,Bambusa cupulata,Mal/ Choya Bans,6.9,6.8,1.4,12,14.6,44,0.7,NA,86,,20.54,3.96,1.25,25.75
26,4-23-Y-18,1,1,30,M2,4-23-Y-18-1-M2,405,Bambusa cupulata,Mal/ Choya Bans,8.1,7.7,1,18,20.3,47,0.7,NA,87,,28.67,5.15,1.05,34.87
26,4-23-Y-18,1,1,30,L1,4-23-Y-18-1-L1,405,Bambusa cupulata,Mal/ Choya Bans,8.3,8.6,1.7,16.8,19.4,51,0.8,NA,88,,31.24,5.2,1.1,37.54
26,4-23-Y-18,1,1,30,L2,4-23-Y-18-1-L2,405,Bambusa cupulata,Mal/ Choya Bans,9.5,9.4,1.8,22.4,25.1,51,0.85,NA,89,,43.1,1.05,0.21,44.36
27,6-70-Y-8,12,1,20,1,6-70-Y-8-12-1,406,Bambusa nutans,Taru Bans,8.5,7.7,2.1,15.3,17.5,58,1.2,NA,90,,53.86,4.05,4.67,62.58
27,6-70-Y-8,12,2,25,2,6-70-Y-8-12-2,406,Bambusa nutans,Taru Bans,8.2,7.5,2.3,16.6,18.2,53,1.2,NA,91,,48.92,3.96,3.87,56.75
27,6-70-Y-8,12,3,30,3,6-70-Y-8-12-3,406,Bambusa nutans,Taru Bans,8.4,7.2,2.9,15,17.8,57,1.2,NA,92,,45.07,4.32,3.75,53.14
28,6-70-Y-12,5,1,40,1,6-70-Y-12-5-1,406,Bambusa nutans,Chille/Taru Bans,4.5,3.9,2.6,7.6,9.8,39,0.8,NA,93,,8.72,2.32,1.52,12.56
28,6-70-Y-12,5,2,20,2,6-70-Y-12-5-2,406,Bambusa nutans,Chille/Taru Bans,4.8,4.4,1.6,11.2,12.5,49,0.8,NA,94,,9.73,2.1,1.25,13.08
28,6-70-Y-12,5,3,50,3,6-70-Y-12-5-3,406,Bambusa nutans,Chille/Taru Bans,7,6.5,1.8,11.8,13.7,54,1.1,NA,95,,15.23,3.21,3.56,22
28,6-70-Y-12,5,4,20,4,6-70-Y-12-5-4,406,Bambusa nutans,Chille/Taru Bans,6.9,6.5,1.6,12.2,13.7,49,1.1,NA,96,,16.84,3.59,2.86,23.29
29,6-70-Y-15,1,1,20,S1,6-70-Y-15-1-S1,404,Bambusa nepalensis,Khasro Bans/ Tama,8.8,8.8,1.9,16.9,20.4,51,0.4,NA,97,,23.8,2.25,2.19,28.24
29,6-70-Y-15,1,2,40,S2,6-70-Y-15-1-S2,404,Bambusa nepalensis,Khasro Bans/ Tama,10.3,10.3,2.2,17.3,21.7,53,1.1,NA,98,,35.37,3.62,2.13,41.12
29,6-70-Y-15,1,3,20,S3,6-70-Y-15-1-S3,404,Bambusa nepalensis,Khasro Bans/ Tama,7.8,6.7,1.6,16.3,18.9,49,1.3,NA,99,,18.92,1.95,2.56,23.43
30,2-64-Y-5,3,3,30,3,2-64-Y-5-3-3,405,Bambusa cupulata,Mal bans,8.5,8.3,2.5,19,23,54,1.8,NA,100,,38.755,5.84,1.55,46.145
30,2-64-Y-5,3,2,30,2,2-64-Y-5-3-2,405,Bambusa cupulata,Mal bans,6.6,6.5,2.5,18,22.5,55,1.6,NA,101,,24.4,2.235,0.445,27.08
30,2-64-Y-5,3,1,30,1,2-64-Y-5-3-1,405,Bambusa cupulata,Mal bans,5.4,5,2,11.5,13.5,33,1.5,NA,102,,10.23,1.35,0.7,12.28
30,2-64-Y-5,2,1,30,1,2-64-Y-5-2-1,405,Bambusa cupulata,Mal bans,5.2,4.8,2,11.7,13,35,1.4,NA,103,,9.26,1.595,0.385,11.24
30,2-64-Y-5,2,2,30,2,2-64-Y-5-2-2,405,Bambusa cupulata,Mal bans,6.8,6.5,2,18,21,47,1.6,NA,104,,24.75,3.8,0.7,29.25
30,2-64-Y-5,2,3,30,3,2-64-Y-5-2-3,405,Bambusa cupulata,Mal bans,8.3,8.1,3,18.5,23.5,48,1.7,NA,105,,37.805,3.96,1.25,43.015
31,6-44-Y-1,2,1,30,1,6-44-Y-1-2-1,406,Bambusa nutans,Taru Bans,8.2,7.7,2.1,15.8,17.2,59,1.1,NA,106,,57.1,3.15,2.16,62.41
31,6-44-Y-1,2,2,30,2,6-44-Y-1-2-2,406,Bambusa nutans,Taru Bans,7.2,6.8,2.3,12.3,14.2,47,1,NA,107,,49.74,3.01,2.09,54.84
31,6-44-Y-1,2,3,30,3,6-44-Y-1-2-3,406,Bambusa nutans,Taru Bans,5,4.7,0.8,9.1,10.2,38,1,NA,108,,32.67,2.72,1.62,37.01
32,3-41-Y-5,1,1,30,1,3-41-Y-5-1-1,405,Bambusa cupulata,Mal Bans,5.5,5.3,2,10.5,12.5,32,1.3,NA,109,,10.42,0.95,0.395,11.765
32,3-41-Y-5,2,1,30,2,3-41-Y-5-2-2,405,Bambusa cupulata,Mal Bans,7.4,7.5,2,12.5,14.5,51,1.5,NA,110,,21.51,2.035,0.9,24.445
32,3-41-Y-5,3,1,30,3,3-41-Y-5-3-3,405,Bambusa cupulata,Mal Bans,8.6,8.5,2.5,13.5,17,59,1.7,NA,111,,29.74,5.22,2.16,37.12
33,6-61-Y-6,6,1,40,1,6-61-Y-6-6-1,403,Bambusa balcooa,Dhanu Bans,6.8,5.8,2.5,12.2,15.9,46,1.1,NA,112,,16.14,1.56,3.28,20.98
33,6-61-Y-6,6,2,40,2,6-61-Y-6-6-2,403,Bambusa balcooa,Dhanu Bans,10.1,10,0.3,14.8,17.6,48,2,NA,113,,53.95,1.25,3.1,58.3
33,6-61-Y-6,6,3,45,3,6-61-Y-6-6-3,403,Bambusa balcooa,Dhanu Bans,7.2,7.2,0.1,11.7,11.7,31,1.3,NA,114,,26.29,1.32,2.95,30.56
34,4-39-Y-7,5,1,30,1,4-39-Y-7-5-1,413,Dendrocalamus hamiltonii,Tama Bans,5.6,5.3,0.5,13.5,14.8,35,0.9,NA,115,,10.3,0.6,0.3,11.2
35,4-39-Y-7,5,1,30,1,4-39-Y-7-5-2,413,Dendrocalamus hamiltonii,Tama Bans,6.4,5.6,1.7,11.6,16.9,43,1.2,NA,116,,12.6,2.7,1.7,17
36,4-39-Y-7,5,1,30,1,4-39-Y-7-5-3,413,Dendrocalamus hamiltonii,Tama Bans,7.4,7.5,0.8,10,10.7,40,0.6,NA,117,,10.5,3.1,0.8,14.4
37,4-39-Y-7,5,1,30,1,4-39-Y-7-5-4,413,Dendrocalamus hamiltonii,Tama Bans,9.7,8.8,3,16,20.4,53,1.1,NA,118,,28.8,4.5,1.5,34.8
38,3-17-Y-1,1,1,30,1,3-17-Y-1-C1-S1,403,Bambusa balcooa,Dhanu,7.9,7.8,3.6,19.2,24,71,0.9,NA,119,,46.8,3.14,1.2,51.14
38,3-17-Y-1,1,1,30,1,3-17-Y-1-C1-M1,403,Bambusa balcooa,Dhanu,9.7,9,4.3,19.1,25.1,78,1,NA,120,,57.5,9.35,1.16,68.01
38,3-17-Y-1,1,1,30,1,3-17-Y-1-C1-L1,403,Bambusa balcooa,Dhanu,11.9,11.8,3.7,19.7,25,83,1.3,NA,121,,81.8,11.1,1.21,94.11
39,3-65-Y-5,1,1,30,1,3-65-Y-5-1-1,405,Bambusa cupulata,Mala,5.2,5,2,8.8,10.5,27,1,NA,122,,10.2,2.64,2.16,15
39,3-65-Y-5,2,2,30,1,3-65-Y-5-2-1,405,Bambusa cupulata,mala,7.8,7.8,3,14.6,16.5,48,1.4,NA,123,,23.14,2.32,2.325,27.785
40,3-65-Y-7,C1,1,15,S1,3-65-Y-7-C1-S1,413,Dendrocalamus hamiltonii,Choya Bans,10.8,10.1,4,20.5,24.5,57,1.8,NA,124,,54.1,4.98,2.275,61.355
40,3-65-Y-7,C1,2,20,M1,3-65-Y-7-C1-M1,413,Dendrocalamus hamiltonii,Choya Bans,8.6,8.6,3.5,21,25,55,1.9,NA,125,,40.96,9.53,4.28,54.77
